latitude,longitude,title,reference_url,thumbnail_url
36.0705973,140.1117427,"八坂神社","小野崎",
36.0745435,140.1289008,"鹿島神社","倉掛",
36.0900219,140.1204546,"妻木神社","妻木",
36.2254283,140.1063338,"筑波山神社","筑波"
